"first name",avg_year
LIELLE,2018.0
GRETA,2018.0
MATTHIAS,2018.0
ANSEL,2018.0
KALMEN,2018.0
ROYALTY,2018.0
ELSIE,2018.0
ABRAR,2018.0
KAIRO,2018.0
TZIRY,2018.0
YITTEL,2018.0
FRAIDA,2018.0
YARA,2018.0
LENNON,2018.0
LILLIANNA,2018.0
SHUKRONA,2018.0
CILLIAN,2018.0
IMONA,2018.0
BAILY,2018.0
ARIYA,2018.0
ARLETTE,2018.0
ZAID,2018.0
EMMY,2018.0
WAYLON,2018.0
CHARLEE,2018.0
JON,2018.0
ATLAS,2018.0
BRAIDEN,2018.0
MORDCHA,2018.0
KEHLANI,2018.0
KAYLANI,2017.6666666666667
REMI,2017.5
EMERSYN,2017.5
CLAYTON,2017.5
MARCELO,2017.5
EAN,2017.5
NALA,2017.5
RAELYNN,2017.25
ACE,2017.25
MAVERICK,2017.2222222222222
PAXTON,2017.2
OPHELIA,2017.0
KINSLEY,2017.0
MATES,2017.0
AVRUMY,2017.0
AMAIA,2017.0
MAREN,2017.0
MADINA,2017.0
BELEN,2017.0
RIVER,2017.0
BRAXTON,2017.0
ARIADNE,2017.0
BASSY,2017.0
VEDA,2017.0
KAYSON,2017.0
JOSIE,2017.0
CAIRO,2017.0
YESHAYA,2017.0
ADALINE,2017.0
PASQUALE,2017.0
MARSHALL,2017.0
HARVEY,2017.0
SULLIVAN,2017.0
ALESSIO,2017.0
MEADOW,2017.0
ROSELYN,2017.0
SCARLETH,2017.0
EMELIA,2017.0
NASH,2017.0
CARMELLA,2017.0
FISHEL,2017.0
FREIDA,2017.0
NIAM,2017.0
GIULIANNA,2017.0
ELIAM,2017.0
OSEIAS,2017.0
ALAIA,2016.8461538461538
ARIAH,2016.8181818181818
ARHAM,2016.8
ZAYN,2016.7857142857142
NOVA,2016.6923076923076
INAAYA,2016.6666666666667
ARLO,2016.6
EVERLY,2016.5833333333333
FINLEY,2016.5555555555557
REMINGTON,2016.5
GIULIA,2016.5
WARREN,2016.5
MAISIE,2016.5
SERAFINA,2016.5
FRIMY,2016.5
REMY,2016.5
KYSON,2016.5
LEGEND,2016.4444444444443
RYKER,2016.4285714285713
MATHIAS,2016.4
KYRIE,2016.4
JUNIPER,2016.4
MECHEL,2016.3333333333333
NASHLA,2016.3333333333333
BURECH,2016.3333333333333
LEIA,2016.3333333333333
KILLIAN,2016.3333333333333
EMILIANO,2016.2857142857142
MESHILEM,2016.25
SHLOMA,2016.25
MAISON,2016.2
PAISLEY,2016.1904761904761
ZANE,2016.1818181818182
WESTON,2016.1304347826087
JUNE,2016.125
MUSA,2016.125
